date,da_hiking,rt_hiking
2023-05-02,400.0114285837481,331.8633333332166
2023-05-03,384.0125000337748,318.2499999998148
2023-05-04,950.7371785325763,1032.995910678059
2023-05-05,400.00000113593114,444.99986389773335
2023-05-06,414.70587839971313,406.81817872616705
2023-05-07,483.0770844320265,501.8331769090189
2023-05-08,415.26314866138637,431.115039707709
2023-05-09,408.0714247854064,449.9993896949373
2023-05-10,442.2457674252006,803.646719055718
2023-05-11,427.2933977320344,419.9326661656215
2023-05-12,407.94181788165633,437.4999914223094
2023-05-13,465.3742646754703,1179.9862034616322
2023-05-14,811.7019603099202,423.74999322542135
2023-05-15,389.0999998123074,381.33333398532534
2023-05-16,481.8042253806807,447.80014569744054
2023-05-17,553.3326229383288,840.9969437027654
2023-05-18,451.08385790945374,428.7655823802679
2023-05-19,396.9999999993736,397.6540312751931
